YSR,tshell,Dyolk,φMXene,Asurface,iontype,rion,Eads,ΔGformation,DOSFermi,dinterlayer,Ea,σmax,epsilon_void,Surface_Term,C_theoretical,CE_initial,Crate,Stability_mech,C_0.1C,Retention_200,sigma_eff
0.62,28.5,180,0.32,580,Li,0.76,-0.68,-1.21,0.41,10.1,0.38,0.91,42,O,3579,98.1,89,1,1850,93.2,28.6
0.78,15,220,0.18,420,Na,1.02,-0.52,-0.98,0.29,11.8,0.61,2.1,58,OH,3120,95.3,65,0,1210,78.5,8.2
0.55,35,160,0.42,620,Li,0.76,-0.75,-1.35,0.48,9.7,0.32,0.68,38,O,3579,98.7,92.5,1,1980,95.8,42.1
0.7,22,200,0.28,510,K,1.38,-0.59,-1.1,0.34,12.3,0.55,1.45,48,F,2950,96.2,72,0,1380,82.3,18.9
0.58,40,170,0.38,600,Li,0.76,-0.8,-1.42,0.52,9.5,0.29,0.62,52,O,3579,99,94,1,2020,96.5,38.4
0.65,25,190,0.25,490,Li,0.76,-0.72,-1.28,0.45,10,0.35,1.05,45,O,3579,97.8,87.5,1,1780,91.8,22.5
0.82,18,210,0.15,380,Na,1.02,-0.48,-0.92,0.25,12,0.68,2.45,55,OH,3120,94.1,60.2,0,1080,74.1,6.1
0.6,30,175,0.35,590,Li,0.76,-0.7,-1.25,0.44,9.9,0.36,0.88,40,O,3579,98.4,90.5,1,1880,94,32.8
0.73,20,205,0.22,460,Na,1.02,-0.55,-1.05,0.31,11.5,0.58,1.82,50,F,3120,95.8,68,0,1320,80.2,12.5
0.56,38,165,0.4,610,Li,0.76,-0.78,-1.38,0.5,9.6,0.3,0.65,48,O,3579,98.9,93.2,1,1995,96.2,40.5
0.68,24,195,0.3,550,Li,0.76,-0.66,-1.18,0.39,10.2,0.4,1.12,44,O,3579,97.5,88,1,1820,92.5,26.8
0.75,16.5,215,0.19,400,K,1.38,-0.5,-0.95,0.27,12.1,0.64,2.28,60,F,2950,94.8,63.5,0,1150,76.8,9.2
0.59,32,172,0.36,595,Li,0.76,-0.73,-1.3,0.46,9.8,0.34,0.82,41,O,3579,98.6,91.8,1,1920,95,35.2
0.8,19,208,0.16,390,Na,1.02,-0.49,-0.93,0.26,11.9,0.66,2.38,57,OH,3120,94.5,61.8,0,1100,75,6.8
0.57,36.5,168,0.39,605,Li,0.76,-0.77,-1.36,0.49,9.7,0.31,0.68,46,O,3579,98.8,93.5,1,2005,96.4,39.8
0.63,27,182,0.33,585,Li,0.76,-0.69,-1.23,0.42,10,0.37,0.95,43,O,3579,98,88.8,1,1865,93.5,29.5
0.71,23.5,198,0.27,505,K,1.38,-0.6,-1.12,0.35,12.2,0.54,1.48,49,F,2950,96,71.5,0,1395,82.8,18.2
0.61,29,178,0.34,588,Li,0.76,-0.71,-1.26,0.43,9.9,0.36,0.9,41,O,3579,98.3,90,1,1890,94.2,31.5
0.77,17,218,0.17,410,Na,1.02,-0.51,-0.96,0.28,11.9,0.63,2.2,56,OH,3120,94.8,62.5,0,1120,76.2,7.5
0.54,37,162,0.41,615,Li,0.76,-0.79,-1.4,0.51,9.6,0.3,0.64,49,O,3579,99.1,93.8,1,2010,96.8,41.2
0.66,26,188,0.29,540,Li,0.76,-0.67,-1.19,0.4,10.1,0.39,1.08,44,O,3579,97.7,87.8,1,1805,92,25.8
0.74,21,202,0.24,480,K,1.38,-0.57,-1.08,0.33,12.4,0.57,1.68,51,F,2950,95.9,69.5,0,1340,81,15.2
0.64,28,185,0.31,575,Li,0.76,-0.7,-1.24,0.44,9.9,0.35,0.92,42,O,3579,98.2,89.5,1,1875,93.8,28
0.79,18.5,212,0.16,385,Na,1.02,-0.5,-0.94,0.27,12,0.65,2.35,58,OH,3120,94.6,61,0,1095,74.8,6.5
0.58,34,170,0.37,598,Li,0.76,-0.76,-1.34,0.49,9.7,0.32,0.7,47,O,3579,98.7,92.8,1,1975,95.9,37.2
0.69,23,196,0.28,520,Li,0.76,-0.68,-1.2,0.41,10.1,0.38,1.1,45,O,3579,97.9,88.2,1,1840,92.8,24.5
0.76,19.5,210,0.2,430,K,1.38,-0.53,-1,0.3,12.5,0.6,2.05,59,F,2950,95.5,66.8,0,1250,79.2,10.8
0.6,31,176,0.35,592,Li,0.76,-0.72,-1.27,0.45,9.8,0.34,0.85,40,O,3579,98.5,91,1,1905,94.8,33.8
0.81,16,220,0.14,370,Na,1.02,-0.47,-0.9,0.24,12.2,0.7,2.6,60,OH,3120,93.9,59.2,0,1050,73,5.2
0.55,39,164,0.4,608,Li,0.76,-0.81,-1.44,0.53,9.5,0.28,0.6,50,O,3579,99.2,94.2,1,2035,97,40
0.67,25.5,192,0.31,570,Li,0.76,-0.69,-1.22,0.42,10,0.37,1.02,43,O,3579,98,88.5,1,1835,92.8,27.2
0.72,22.5,199,0.26,500,K,1.38,-0.58,-1.09,0.34,12.3,0.56,1.58,50,F,2950,96.1,70.8,0,1365,81.5,16.8
0.59,33,174,0.37,595,Li,0.76,-0.74,-1.32,0.47,9.8,0.33,0.78,45,O,3579,98.6,92.2,1,1950,95.5,36.5
0.83,17.5,214,0.15,375,Na,1.02,-0.49,-0.91,0.25,12.1,0.67,2.5,59,OH,3120,94.3,60.5,0,1070,74.2,5.8
0.57,37.5,166,0.39,602,Li,0.76,-0.79,-1.39,0.51,9.6,0.3,0.66,48,O,3579,99,93.8,1,2015,96.7,39.2
0.64,27.5,184,0.33,582,Li,0.76,-0.71,-1.25,0.43,9.9,0.36,0.93,42,O,3579,98.3,89.8,1,1885,94.1,30.1
0.7,24.5,197,0.29,530,Li,0.76,-0.67,-1.17,0.4,10.2,0.39,1.15,46,O,3579,97.8,87.5,1,1810,92.2,25
0.77,20.5,206,0.21,440,K,1.38,-0.54,-1.02,0.31,12.4,0.59,1.95,55,F,2950,95.7,67.5,0,1280,79.8,11.5
0.61,30.5,177,0.34,588,Li,0.76,-0.73,-1.28,0.46,9.8,0.35,0.87,41,O,3579,98.4,90.8,1,1910,94.6,32.2
0.8,18,211,0.17,395,Na,1.02,-0.5,-0.94,0.27,11.9,0.65,2.32,57,OH,3120,94.7,62,0,1115,75.5,7.2
0.56,38.5,163,0.41,612,Li,0.76,-0.82,-1.45,0.54,9.5,0.27,0.58,51,O,3579,99.3,94.5,1,2040,97.2,41.8
0.68,23.8,194,0.3,548,Li,0.76,-0.68,-1.19,0.41,10.1,0.38,1.08,44,O,3579,97.9,88,1,1830,92.6,26.5
0.74,21.8,201,0.25,490,K,1.38,-0.56,-1.06,0.32,12.5,0.58,1.75,52,F,2950,96,69,0,1330,80.5,14.2
0.63,28.8,183,0.32,578,Li,0.76,-0.7,-1.24,0.44,9.9,0.36,0.94,43,O,3579,98.2,89.2,1,1870,93.9,29
0.79,19.2,209,0.18,405,Na,1.02,-0.51,-0.95,0.28,11.8,0.64,2.25,56,OH,3120,94.9,63,0,1135,76.8,8
0.58,35.5,169,0.38,600,Li,0.76,-0.77,-1.37,0.5,9.7,0.31,0.7,47,O,3579,98.9,93,1,1985,96,37.8
0.66,26.8,189,0.3,560,Li,0.76,-0.69,-1.21,0.42,10,0.37,1,44,O,3579,98.1,88.8,1,1845,93,27.8
0.71,23.2,198,0.27,510,K,1.38,-0.59,-1.11,0.35,12.3,0.55,1.52,49,F,2950,96.2,71.2,0,1375,82,17.5
0.6,31.5,176,0.35,590,Li,0.76,-0.72,-1.27,0.45,9.8,0.35,0.86,40,O,3579,98.5,91.2,1,1900,94.7,33.5
0.612,28.7,179.5,0.318,582,Li,0.76,-0.678,-1.205,0.412,10.12,0.382,0.915,42.3,O,3579,98.12,89.2,1,1852,93.3,28.7
0.775,15.3,219,0.177,418,Na,1.02,-0.518,-0.975,0.292,11.78,0.608,2.09,57.7,OH,3120,95.28,64.8,0,1208,78.4,8.1
0.555,34.8,160.5,0.418,618,Li,0.76,-0.748,-1.348,0.478,9.72,0.322,0.685,38.2,O,3579,98.68,92.3,1,1978,95.7,41.9
0.705,21.8,200.5,0.282,508,K,1.38,-0.588,-1.098,0.342,12.28,0.552,1.445,47.8,F,2950,96.22,71.8,0,1378,82.2,18.8
0.582,39.7,170.5,0.378,598,Li,0.76,-0.798,-1.418,0.518,9.52,0.292,0.625,51.7,O,3579,98.98,93.9,1,2018,96.4,38.2
0.648,25.2,189.5,0.248,492,Li,0.76,-0.718,-1.278,0.448,10.02,0.352,1.045,44.8,O,3579,97.78,87.3,1,1778,91.7,22.3
0.818,18.2,209.5,0.148,382,Na,1.02,-0.478,-0.918,0.252,11.98,0.678,2.445,54.8,OH,3120,94.08,60,0,1078,74,6
0.602,29.8,175.5,0.352,588,Li,0.76,-0.698,-1.248,0.438,9.92,0.362,0.875,39.8,O,3579,98.38,90.3,1,1878,93.9,32.6
0.728,20.2,204.5,0.218,462,Na,1.02,-0.548,-1.048,0.308,11.52,0.578,1.815,49.8,F,3120,95.78,67.8,0,1318,80.1,12.4
0.562,37.8,165.5,0.398,608,Li,0.76,-0.778,-1.378,0.498,9.62,0.302,0.655,47.8,O,3579,98.88,93,1,1993,96.1,40.3
0.678,24.2,194.5,0.298,548,Li,0.76,-0.658,-1.178,0.388,10.22,0.402,1.115,43.8,O,3579,97.48,87.8,1,1818,92.4,26.6
0.748,16.7,214.5,0.188,402,K,1.38,-0.498,-0.948,0.272,12.08,0.638,2.275,59.8,F,2950,94.78,63.3,0,1148,76.7,9.1
0.592,31.8,172.5,0.358,593,Li,0.76,-0.728,-1.298,0.458,9.82,0.342,0.815,40.8,O,3579,98.58,91.6,1,1918,94.9,35
0.798,19.2,207.5,0.158,392,Na,1.02,-0.488,-0.928,0.262,11.88,0.658,2.375,56.8,OH,3120,94.48,61.6,0,1098,74.9,6.7
0.572,36.3,168.5,0.388,603,Li,0.76,-0.768,-1.358,0.488,9.72,0.312,0.685,45.8,O,3579,98.78,93.3,1,2003,96.3,39.6
0.632,26.8,182.5,0.328,583,Li,0.76,-0.688,-1.228,0.418,10.02,0.372,0.945,42.8,O,3579,97.98,88.6,1,1863,93.4,29.3
0.712,23.3,198.5,0.268,503,K,1.38,-0.598,-1.118,0.348,12.18,0.542,1.475,48.8,F,2950,95.98,71.3,0,1393,82.7,18
0.612,28.8,178.5,0.338,586,Li,0.76,-0.708,-1.258,0.428,9.92,0.362,0.895,40.8,O,3579,98.28,89.8,1,1888,94.1,31.3
0.768,17.2,217.5,0.168,412,Na,1.02,-0.508,-0.958,0.278,11.88,0.628,2.195,55.8,OH,3120,94.78,62.3,0,1118,76.1,7.4
0.542,36.8,162.5,0.408,613,Li,0.76,-0.788,-1.398,0.508,9.62,0.302,0.645,48.8,O,3579,99.08,93.6,1,2008,96.7,41
0.658,26.2,187.5,0.288,542,Li,0.76,-0.668,-1.188,0.398,10.12,0.392,1.075,43.8,O,3579,97.68,87.6,1,1803,91.9,25.6
0.738,21.2,201.5,0.238,482,K,1.38,-0.568,-1.078,0.328,12.38,0.568,1.675,50.8,F,2950,95.88,69.3,0,1338,80.9,15
0.642,27.8,185.5,0.308,573,Li,0.76,-0.698,-1.238,0.438,9.92,0.352,0.915,41.8,O,3579,98.18,89.3,1,1873,93.7,27.8
0.788,18.7,211.5,0.158,387,Na,1.02,-0.498,-0.938,0.272,11.98,0.648,2.345,57.8,OH,3120,94.58,60.8,0,1093,74.7,6.4
0.582,33.8,170.5,0.368,596,Li,0.76,-0.758,-1.338,0.488,9.72,0.322,0.695,46.8,O,3579,98.68,92.6,1,1973,95.8,37
0.688,22.8,196.5,0.278,522,Li,0.76,-0.678,-1.198,0.408,10.12,0.382,1.095,44.8,O,3579,97.88,88,1,1838,92.7,24.3
0.758,19.7,209.5,0.198,432,K,1.38,-0.528,-0.998,0.302,12.48,0.598,2.045,58.8,F,2950,95.48,66.6,0,1248,79.1,10.7
0.602,30.8,176.5,0.348,590,Li,0.76,-0.718,-1.268,0.448,9.82,0.342,0.845,39.8,O,3579,98.48,90.8,1,1903,94.7,33.6
0.808,16.2,219.5,0.138,372,Na,1.02,-0.468,-0.898,0.242,12.18,0.698,2.595,59.8,OH,3120,93.88,59,0,1048,72.9,5.1
0.552,38.8,164.5,0.398,606,Li,0.76,-0.808,-1.438,0.528,9.52,0.282,0.605,49.8,O,3579,99.18,94,1,2033,96.9,39.8
0.672,25.3,192.5,0.308,568,Li,0.76,-0.688,-1.218,0.418,10.02,0.372,1.015,42.8,O,3579,97.98,88.3,1,1833,92.7,27
0.722,22.3,199.5,0.258,502,K,1.38,-0.578,-1.088,0.338,12.28,0.562,1.575,49.8,F,2950,96.08,70.6,0,1363,81.4,16.6
0.592,32.8,174.5,0.368,593,Li,0.76,-0.738,-1.318,0.468,9.82,0.332,0.775,44.8,O,3579,98.58,92,1,1948,95.4,36.3
0.828,17.7,213.5,0.148,377,Na,1.02,-0.488,-0.908,0.252,12.08,0.668,2.495,58.8,OH,3120,94.28,60.3,0,1068,74.1,5.7
0.572,37.3,166.5,0.388,600,Li,0.76,-0.788,-1.388,0.508,9.62,0.302,0.665,47.8,O,3579,98.98,93.6,1,2013,96.6,39
0.642,27.3,184.5,0.328,580,Li,0.76,-0.708,-1.248,0.428,9.92,0.362,0.925,41.8,O,3579,98.28,89.6,1,1883,94,29.9
0.702,24.3,197.5,0.288,528,Li,0.76,-0.668,-1.168,0.398,10.22,0.392,1.145,45.8,O,3579,97.78,87.3,1,1808,92.1,24.8
0.768,20.7,205.5,0.208,442,K,1.38,-0.538,-1.018,0.312,12.38,0.588,1.945,54.8,F,2950,95.68,67.3,0,1278,79.7,11.4
0.612,30.3,177.5,0.338,586,Li,0.76,-0.728,-1.278,0.458,9.82,0.352,0.865,40.8,O,3579,98.38,90.6,1,1908,94.5,32
0.798,18.2,211.5,0.168,397,Na,1.02,-0.498,-0.938,0.272,11.88,0.648,2.315,56.8,OH,3120,94.68,61.8,0,1113,75.4,7.1
0.562,38.3,163.5,0.408,610,Li,0.76,-0.818,-1.448,0.538,9.52,0.272,0.585,50.8,O,3579,99.28,94.3,1,2038,97.1,41.6
0.678,23.6,194.5,0.298,546,Li,0.76,-0.678,-1.188,0.408,10.12,0.382,1.075,43.8,O,3579,97.88,87.8,1,1828,92.5,26.3
0.738,21.6,201.5,0.248,492,K,1.38,-0.558,-1.058,0.318,12.48,0.578,1.745,51.8,F,2950,95.98,68.8,0,1328,80.4,14
0.632,28.6,183.5,0.318,576,Li,0.76,-0.698,-1.238,0.438,9.92,0.362,0.935,42.8,O,3579,98.18,89,1,1868,93.8,28.8
0.788,19,209.5,0.178,407,Na,1.02,-0.508,-0.948,0.278,11.78,0.638,2.245,55.8,OH,3120,94.88,62.8,0,1133,76.7,7.9
0.582,35.3,169.5,0.378,598,Li,0.76,-0.768,-1.368,0.498,9.72,0.312,0.695,46.8,O,3579,98.88,92.8,1,1983,95.9,37.6
0.658,26.6,189.5,0.298,558,Li,0.76,-0.688,-1.208,0.418,10.02,0.372,0.995,43.8,O,3579,98.08,88.6,1,1843,92.9,27.6
0.712,23,198.5,0.268,512,K,1.38,-0.588,-1.108,0.348,12.28,0.552,1.515,48.8,F,2950,96.18,71,0,1373,81.9,17.3
0.602,31.3,176.5,0.348,588,Li,0.76,-0.718,-1.268,0.448,9.82,0.352,0.855,39.8,O,3579,98.48,91,1,1898,94.6,33.3
0.615,28.2,179,0.322,585,Li,0.76,-0.682,-1.212,0.414,10.08,0.378,0.908,41.8,O,3579,98.15,89.1,1,1855,93.25,28.55
0.778,14.8,221,0.178,422,Na,1.02,-0.522,-0.982,0.288,11.82,0.608,2.095,58.2,OH,3120,95.25,64.9,0,1205,78.45,8.25
0.552,35.2,159.5,0.418,622,Li,0.76,-0.752,-1.348,0.478,9.68,0.318,0.678,37.8,O,3579,98.72,92.6,1,1982,95.85,42.05
0.702,21.8,200.5,0.282,512,K,1.38,-0.592,-1.102,0.342,12.28,0.548,1.448,47.8,F,2950,96.18,71.9,0,1382,82.35,18.85
0.582,39.8,170.5,0.378,598,Li,0.76,-0.802,-1.418,0.518,9.48,0.288,0.618,51.8,O,3579,99.02,94.1,1,2022,96.55,38.35
